"Time (s)","Sound pressure level (dB)"
8.169153337E1,-6.992810324E1
8.179821579E1,-7.064849913E1
8.190493550E1,-7.015804384E1
8.201173517E1,-7.008616701E1
8.211858358E1,-6.759738358E1
8.222292750E1,-6.809208228E1
8.232967079E1,-6.891927939E1
8.243647262E1,-7.003887379E1
8.254094150E1,-6.955443036E1
8.264780767E1,-6.864904846E1
8.275464992E1,-7.122906082E1
8.285897388E1,-6.882312293E1
8.296570217E1,-6.964918441E1
8.307273358E1,-7.039813264E1
8.317702637E1,не число
8.328277925E1,-7.023013074E1
8.338662500E1,-6.932563341E1
8.349300875E1,-7.131488480E1
8.359659592E1,-7.053372153E1
8.370141521E1,-7.045342143E1
8.380811387E1,-6.817300296E1
8.391347225E1,-7.009450256E1
8.401614679E1,-6.917523287E1
8.412306921E1,-7.018362200E1
8.422954383E1,-6.988767143E1
8.433198700E1,-7.048692610E1
8.443661987E1,-6.800330432E1
8.454345592E1,-7.013001809E1
8.465003192E1,-6.895913312E1
8.475682267E1,-6.977474562E1
8.486346358E1,-7.018324997E1
8.496596567E1,не число
8.506853733E1,-6.887750345E1
8.517364854E1,-6.971134870E1
8.528045242E1,-7.009242875E1
8.538640025E1,-7.000103896E1
8.549249758E1,-6.979858430E1
8.559927012E1,-6.984394399E1
8.570247554E1,-7.008860659E1
8.580914108E1,-6.830454078E1
8.591594054E1,-6.968965726E1
8.602054067E1,-6.948675221E1
8.612307067E1,-7.000113731E1
8.622988887E1,-7.051148949E1
8.633664096E1,-6.962702637E1
8.643906187E1,-7.087208236E1
8.654593275E1,-7.009835493E1
8.665276342E1,-7.080415325E1
8.675711667E1,-7.086582392E1
8.685949617E1,-7.109679973E1
8.696618850E1,-7.038146076E1
8.707288117E1,не число
8.717556400E1,-7.074895855E1
8.727789117E1,-7.191695334E1
